,price,state,prev_state,latest_uptrend,latest_downtrend,latest_rally,latest_reaction,latest_second_rally,latest_second_reaction,redline_uptrend,redline_reaction,blackline_downtrend,blackline_rally,Date
0,330.0601501464844,,downtrend,,,,,,,,,,,2020-08-19
1,331.0877990722656,downtrend,downtrend,,331.0877990722656,,,,,,,,,2020-08-20
2,332.2622985839844,downtrend,downtrend,,331.0877990722656,,,,,,,,,2020-08-21
3,335.629150390625,rally,downtrend,,331.0877990722656,335.629150390625,,,,,,331.0877990722656,,2020-08-24
4,336.8036499023437,rally,rally,,331.0877990722656,336.8036499023437,,,,,,331.0877990722656,,2020-08-25
5,340.1803283691406,rally,rally,,331.0877990722656,340.1803283691406,,,,,,331.0877990722656,,2020-08-26
6,340.92413330078125,rally,rally,,331.0877990722656,340.92413330078125,,,,,,331.0877990722656,,2020-08-27
7,343.12628173828125,rally,rally,,331.0877990722656,343.12628173828125,,,,,,331.0877990722656,,2020-08-28
8,341.88330078125,rally,rally,,331.0877990722656,343.12628173828125,,,,,,331.0877990722656,,2020-08-31
9,345.10333251953125,rally,rally,,331.0877990722656,345.10333251953125,,,,,,331.0877990722656,,2020-09-01
10,350.09490966796875,rally,rally,,331.0877990722656,350.09490966796875,,,,,,331.0877990722656,,2020-09-02
11,338.0466613769531,reaction,rally,,331.0877990722656,350.09490966796875,338.0466613769531,,,,,331.0877990722656,350.09490966796875,2020-09-03
12,335.28662109375,reaction,reaction,,331.0877990722656,350.09490966796875,335.28662109375,,,,,331.0877990722656,350.09490966796875,2020-09-04
13,326.1255798339844,downtrend,reaction,,326.1255798339844,350.09490966796875,335.28662109375,,,,,331.0877990722656,350.09490966796875,2020-09-08
14,332.5657043457031,rally,downtrend,,326.1255798339844,332.5657043457031,335.28662109375,,,,335.28662109375,326.1255798339844,350.09490966796875,2020-09-09
15,326.7911682128906,reaction,rally,,326.1255798339844,332.5657043457031,326.7911682128906,,,,335.28662109375,326.1255798339844,332.5657043457031,2020-09-10
16,326.9575500488281,downtrend,reaction,,326.9575500488281,332.5657043457031,326.7911682128906,,,,335.28662109375,326.1255798339844,332.5657043457031,2020-09-11
17,331.26397705078125,rally,downtrend,,326.9575500488281,331.26397705078125,326.7911682128906,,,,326.7911682128906,326.9575500488281,332.5657043457031,2020-09-14
18,332.9376525878906,rally,rally,,326.9575500488281,332.9376525878906,326.7911682128906,,,,326.7911682128906,326.9575500488281,332.5657043457031,2020-09-15
19,331.6163330078125,rally,rally,,326.9575500488281,332.9376525878906,326.7911682128906,,,,326.7911682128906,326.9575500488281,332.5657043457031,2020-09-16
20,328.69970703125,second_reaction,rally,,326.9575500488281,332.9376525878906,326.7911682128906,,328.69970703125,,326.7911682128906,326.9575500488281,332.5657043457031,2020-09-17
21,324.9154663085937,reaction,second_reaction,,326.9575500488281,332.9376525878906,324.9154663085937,,328.69970703125,,326.7911682128906,326.9575500488281,332.9376525878906,2020-09-18
22,321.29931640625,downtrend,reaction,,321.29931640625,332.9376525878906,324.9154663085937,,328.69970703125,,326.7911682128906,326.9575500488281,332.9376525878906,2020-09-21
23,324.571533203125,rally,downtrend,,321.29931640625,324.571533203125,324.9154663085937,,328.69970703125,,324.9154663085937,321.29931640625,332.9376525878906,2020-09-22
24,317.0444030761719,reaction,rally,,321.29931640625,324.571533203125,317.0444030761719,,328.69970703125,,324.9154663085937,321.29931640625,324.571533203125,2020-09-23
25,317.8894348144531,downtrend,reaction,,317.8894348144531,324.571533203125,317.0444030761719,,328.69970703125,,324.9154663085937,321.29931640625,324.571533203125,2020-09-24
26,323.0287780761719,rally,downtrend,,317.8894348144531,323.0287780761719,317.0444030761719,,328.69970703125,,317.0444030761719,317.8894348144531,324.571533203125,2020-09-25
27,328.3940734863281,uptrend,rally,328.3940734863281,317.8894348144531,323.0287780761719,317.0444030761719,,328.69970703125,,317.0444030761719,317.8894348144531,324.571533203125,2020-09-28
28,326.60565185546875,uptrend,uptrend,328.3940734863281,317.8894348144531,323.0287780761719,317.0444030761719,,328.69970703125,,317.0444030761719,317.8894348144531,324.571533203125,2020-09-29
29,329.0819702148437,uptrend,uptrend,329.0819702148437,317.8894348144531,323.0287780761719,317.0444030761719,,328.69970703125,,317.0444030761719,317.8894348144531,324.571533203125,2020-09-30
30,331.19464111328125,uptrend,uptrend,331.19464111328125,317.8894348144531,323.0287780761719,317.0444030761719,,328.69970703125,,317.0444030761719,317.8894348144531,324.571533203125,2020-10-01
31,328.0501403808594,reaction,uptrend,331.19464111328125,317.8894348144531,323.0287780761719,328.0501403808594,,328.69970703125,331.19464111328125,317.0444030761719,317.8894348144531,323.0287780761719,2020-10-02
32,333.8674621582031,rally,reaction,331.19464111328125,317.8894348144531,333.8674621582031,328.0501403808594,,328.69970703125,331.19464111328125,328.0501403808594,317.8894348144531,323.0287780761719,2020-10-05
33,329.1212158203125,uptrend,rally,329.1212158203125,317.8894348144531,333.8674621582031,328.0501403808594,,328.69970703125,331.19464111328125,328.0501403808594,317.8894348144531,323.0287780761719,2020-10-06
34,334.85015869140625,uptrend,uptrend,334.85015869140625,317.8894348144531,333.8674621582031,328.0501403808594,,328.69970703125,331.19464111328125,328.0501403808594,317.8894348144531,323.0287780761719,2020-10-07
35,337.8177795410156,uptrend,uptrend,337.8177795410156,317.8894348144531,333.8674621582031,328.0501403808594,,328.69970703125,331.19464111328125,328.0501403808594,317.8894348144531,323.0287780761719,2020-10-08
